Stateandterritory,Industry,Category,PersonsMedianweeklyearnings,MalesMedianweeklyearnings,FemalesMedianweeklyearnings
Victoria,Mining,Skill level 4,2076.813,0,0
Victoria,Mining,Skill level 5,0,0,0
Victoria,Manufacturing,Full-time,1498.911,1530.972,1349.043
Victoria,Manufacturing,Part-time,600,480.687,648.904
Victoria,Manufacturing,Skill level 1,1931.044,2000,1829.507
Victoria,Manufacturing,Skill level 2,1524.252,1441.178,1581.453
Victoria,Manufacturing,Skill level 3,1491.704,1535.713,863.242
Victoria,Manufacturing,Skill level 4,1200,1269.61,1136.874
Victoria,Manufacturing,Skill level 5,958.202,1105.666,873.031
Victoria,"Electricity, gas, water and waste services",Full-time,2215.702,2231.789,2143.945
Victoria,"Electricity, gas, water and waste services",Part-time,822.476,801.008,845.43
Victoria,"Electricity, gas, water and waste services",Skill level 1,2289.764,2305.291,0
Victoria,"Electricity, gas, water and waste services",Skill level 2,2875.177,0,0
Victoria,"Electricity, gas, water and waste services",Skill level 3,0,0,0
Victoria,"Electricity, gas, water and waste services",Skill level 4,1079.088,1223.329,713.486
Victoria,"Electricity, gas, water and waste services",Skill level 5,1365.451,1249.861,0
Victoria,Construction,Full-time,1621.402,1644.62,1517.103
Victoria,Construction,Part-time,700.124,733.234,663.822
Victoria,Construction,Skill level 1,2112.945,2116.942,2056.525
Victoria,Construction,Skill level 2,1485.958,1747.43,1189.371
Victoria,Construction,Skill level 3,1500,1500,0
Victoria,Construction,Skill level 4,1563.778,1844.262,1183.562
Victoria,Construction,Skill level 5,1249.92,1261.71,0
Victoria,Wholesale trade,Full-time,1577.149,1600,1455.955
Victoria,Wholesale trade,Part-time,805.402,743.507,947.578
Victoria,Wholesale trade,Skill level 1,2300.975,2454.995,2290.458
Victoria,Wholesale trade,Skill level 2,1438.864,1507.028,0
Victoria,Wholesale trade,Skill level 3,1277.115,1332.191,0
Victoria,Wholesale trade,Skill level 4,1214,1300,1194.338
Victoria,Wholesale trade,Skill level 5,1171.618,1184.981,0
Victoria,Retail trade,Full-time,1282.76,1448.964,1200
Victoria,Retail trade,Part-time,403.502,350.032,428.067
Victoria,Retail trade,Skill level 1,1915.517,2471.93,1645.624
Victoria,Retail trade,Skill level 2,1200,1321.524,1158.317
Victoria,Retail trade,Skill level 3,1129.921,1385.319,742.69
Victoria,Retail trade,Skill level 4,1000,1000,1015.398
Victoria,Retail trade,Skill level 5,500,650,450
Victoria,Accommodation and food services,Full-time,1103.276,1150,1097.961
Victoria,Accommodation and food services,Part-time,350,399.265,335.802
Victoria,Accommodation and food services,Skill level 1,1118.819,0,0
Victoria,Accommodation and food services,Skill level 2,1099.78,1099.839,1081.953
Victoria,Accommodation and food services,Skill level 3,712.25,0,0
Victoria,Accommodation and food services,Skill level 4,500,572.062,400
Victoria,Accommodation and food services,Skill level 5,256.657,211.058,349.087
Victoria,"Transport, postal and warehousing",Full-time,1544.916,1600,1400.494
Victoria,"Transport, postal and warehousing",Part-time,687.297,653.073,792.68
Victoria,"Transport, postal and warehousing",Skill level 1,2445.165,2475.51,2186.965
Victoria,"Transport, postal and warehousing",Skill level 2,0,0,0
Victoria,"Transport, postal and warehousing",Skill level 3,1989.271,2044.712,809.868
Victoria,"Transport, postal and warehousing",Skill level 4,1416.535,1432,1288.926
Victoria,"Transport, postal and warehousing",Skill level 5,881.092,1000,856.003
Victoria,Information Media and telecommunications,Full-time,1761.3,1872.296,1519.516
Victoria,Information Media and telecommunications,Part-time,531.919,0,880.892
Victoria,Information Media and telecommunications,Skill level 1,2064.788,2007.778,2349.602
Victoria,Information Media and telecommunications,Skill level 2,1438.66,0,0
Victoria,Information Media and telecommunications,Skill level 3,0,0,0
Victoria,Information Media and telecommunications,Skill level 4,1300.929,0,0
Victoria,Information Media and telecommunications,Skill level 5,0,0,0
Victoria,Financial and insurance services,Full-time,1825.635,2201.916,1476.43
Victoria,Financial and insurance services,Part-time,1000,1507.842,1000
Victoria,Financial and insurance services,Skill level 1,2253.676,2500,1750.689
Victoria,Financial and insurance services,Skill level 2,1893.814,2129.743,1552.748
Victoria,Financial and insurance services,Skill level 3,1425.091,1541.869,1292.482
Victoria,Financial and insurance services,Skill level 4,1212.171,1319.727,1166.285
Victoria,Financial and insurance services,Skill level 5,0,0,0
Victoria,"Rental, hiring and real estate services",Full-time,1382.93,1284.708,1439.6
Victoria,"Rental, hiring and real estate services",Part-time,787.264,0,522.121
Victoria,"Rental, hiring and real estate services",Skill level 1,1699.831,0,1791.335
Victoria,"Rental, hiring and real estate services",Skill level 2,1407.44,0,1290.563
Victoria,"Rental, hiring and real estate services",Skill level 3,1156.473,1177.598,1170.347
Victoria,"Rental, hiring and real estate services",Skill level 4,916.07,0,898.918
Victoria,"Rental, hiring and real estate services",Skill level 5,942.401,0,0
